,Date,Artist,Song
0,"January 15, 2000",Christina Aguilera,"""What a Girl Wants"""
1,"January 29, 2000",Savage Garden,"""I Knew I Loved You"""
2,"February 19, 2000",Mariah Carey featuring Joe and 98 Degrees,"""Thank God I Found You"""
3,"March 4, 2000",Lonestar,"""Amazed"""
4,"March 18, 2000",Destiny's Child,"""Say My Name"""
5,"April 8, 2000",Santana featuring The Product G&B,"""Maria Maria"""
6,"June 17, 2000",Aaliyah,"""Try Again"""
7,"June 24, 2000",Enrique Iglesias,"""Be With You"""
8,"July 15, 2000",Vertical Horizon,"""Everything You Want"""
9,"July 22, 2000",Matchbox Twenty,"""Bent"""
10,"July 29, 2000",'N Sync,"""It's Gonna Be Me"""
11,"August 12, 2000",Sisqó,"""Incomplete"""
12,"August 26, 2000",Janet Jackson,"""Doesn't Really Matter"""
13,"September 16, 2000",Madonna,"""Music"""
14,"October 14, 2000",Christina Aguilera,"""Come On Over Baby (All I Want Is You)"""
15,"November 11, 2000",Creed,"""With Arms Wide Open"""
16,"November 18, 2000",Destiny's Child,"""Independent Women"""
17,"February 3, 2001",Shaggy featuring Ricardo 'Rikrok' Ducent,"""It Wasn't Me"""
18,"February 17, 2001",Outkast,"""Ms. Jackson"""
19,"February 24, 2001",Joe featuring Mystikal,"""Stutter"""
20,"March 24, 2001",Crazy Town,"""Butterfly"""
21,"March 31, 2001",Shaggy featuring Rayvon,"""Angel"""
22,"April 14, 2001",Janet Jackson,"""All For You"""
23,"June 2, 2001","Christina Aguilera, Lil' Kim, Mýa and Pink","""Lady Marmalade"""
24,"July 7, 2001",Usher,"""U Remind Me"""
25,"August 4, 2001",Destiny's Child,"""Bootylicious"""
26,"August 18, 2001",Alicia Keys,"""Fallin'"""
27,"September 8, 2001",Jennifer Lopez featuring Ja Rule,"""I'm Real"""
28,"November 3, 2001",Mary J. Blige,"""Family Affair"""
29,"December 15, 2001",Usher,"""U Got It Bad"""
30,"December 22, 2001",Nickelback,"""How You Remind Me""[C]"
31,"February 23, 2002",Ja Rule featuring Ashanti,"""Always on Time"""
32,"March 9, 2002",Jennifer Lopez featuring Ja Rule,"""Ain't It Funny"""
33,"April 20, 2002",Ashanti,"""Foolish"""
34,"June 29, 2002",Nelly,"""Hot in Herre"""
35,"August 17, 2002",Nelly featuring Kelly Rowland,"""Dilemma"""
36,"October 5, 2002",Kelly Clarkson,"""A Moment Like This"""
37,"November 9, 2002",Eminem,"""Lose Yourself"""
38,"February 1, 2003",B2K featuring P. Diddy,"""Bump, Bump, Bump"""
39,"February 8, 2003",Jennifer Lopez featuring LL Cool J,"""All I Have"""
40,"March 8, 2003",50 Cent,"""In da Club""[D]"
41,"May 10, 2003",Sean Paul,"""Get Busy"""
42,"May 31, 2003",50 Cent featuring Nate Dogg,"""21 Questions"""
43,"June 28, 2003",Clay Aiken,"""This Is the Night"""
44,"July 12, 2003",Beyoncé featuring Jay-Z,"""Crazy in Love"""
