,Date,Artist,Song
0,"January 7, 1950",Gene Autry,"""Rudolph, The Red-nosed Reindeer"""
1,"January 14, 1950",The Andrews Sisters,"""I Can Dream, Can't I"""
2,"February 11, 1950",The Ames Brothers,"""Rag Mop"""
3,"February 18, 1950",Red Foley,"""Chattanoogie Shoe Shine Boy"""
4,"March 18, 1950",Teresa Brewer,"""Music! Music! Music!"""
5,"April 15, 1950",Eileen Barton,"""If I Knew You Were Comin' I'd've Baked a Cake"""
6,"April 29, 1950",Anton Karas,"""The Third Man Theme"""
7,"July 15, 1950",Nat King Cole,"""Mona Lisa"""
8,"August 19, 1950",Gordon Jenkins and The Weavers,"""Goodnight Irene"" (1950)"
9,"November 18, 1950",Sammy Kaye,"""Harbor Lights"""
10,"December 2, 1950",Phil Harris,"""The Thing"""
11,"December 30, 1950",Patti Page,"""The Tennessee Waltz"""
12,"March 3, 1951",Perry Como,"""If"""
13,"March 10, 1951",Mario Lanza,"""Be My Love"""
14,"April 21, 1951",Les Paul and Mary Ford,"""How High The Moon"""
15,"June 23, 1951",Nat King Cole,"""Too Young"" (1951)"
16,"July 28, 1951",Rosemary Clooney,"""Come On-a My House"""
17,"September 8, 1951",Tony Bennett,"""Because Of You"""
18,"November 3, 1951",Tony Bennett,"""Cold, Cold Heart"""
19,"December 15, 1951",Eddy Howard,"""Sin (It's No Sin)"""
20,"December 29, 1951",Johnnie Ray and The Four Lads,"""Cry"""
21,"March 15, 1952",Kay Starr,"""Wheel Of Fortune"""
22,"May 17, 1952",Leroy Anderson,"""Blue Tango"" (1952)"
23,"June 21, 1952",Al Martino,"""Here In My Heart"""
24,"July 5, 1952",Percy Faith,"""Delicado"""
25,"July 12, 1952",Vera Lynn,"""Auf Wiederseh'n Sweetheart"""
26,"September 13, 1952",Jo Stafford,"""You Belong To Me"""
27,"October 18, 1952",Patti Page,"""I Went To Your Wedding"""
28,"November 22, 1952",Johnny Standley,"""It's In The Book (parts 1 & 2)"""
29,"November 29, 1952",Joni James,"""Why Don't You Believe Me"""
30,"December 27, 1952",Jimmy Boyd,"""I Saw Mommy Kissing Santa Claus"""
31,"January 10, 1953",Perry Como,"""Don't Let the Stars Get in Your Eyes"""
32,"February 14, 1953",Teresa Brewer,"""Till I Waltz Again With You"""
33,"March 21, 1953",Patti Page,"""The Doggie In The Window"""
34,"May 16, 1953",Percy Faith,"""The Song From Moulin Rouge (Where Is Your Heart)"" (1953)"
35,"July 25, 1953",Eddie Fisher,"""I'm Walking Behind You"""
36,"August 8, 1953",Les Paul and Mary Ford,"""Vaya Con Dios (May God Be With You)"""
